,0
71,"Danny Care, a 36-year-old scrumhalf, is excited about England's World Cup semi-final against South Africa. Despite previously missing World Cups due to injury or exclusion from the squad, Care has earned a role as a substitute under Steve Borthwick's leadership. Care acknowledges the significance of playing in a World Cup final and expresses his belief in the team's ability to challenge the reigning champions, the Springboks."
72,"The job interview process has become increasingly lengthy, with some candidates facing nine to 12 rounds of interviews. This prolonged process creates stress for candidates and can lead to delays in filling vacant roles. Factors contributing to this include inadequate preparation, inefficient stakeholder management, and pressure to hire the ideal candidate.

To shorten the process, organizations should prepare thoroughly, establish clear evaluation criteria, and delegate roles appropriately. They should also involve diverse interviewers and consider alternative interview formats such as panel interviews or video assessments. Remote interviewing can alleviate scheduling and cost issues, but in-person interactions are still valuable for assessing cultural fit.

Beyond procedural changes, companies should shift from one-way assessments to two-way conversations. Candidates are now evaluating organizations as much as organizations are evaluating them. Interviews aim for mutually beneficial outcomes and allow candidates to assess whether the company is a suitable fit for their career aspirations."
73,"China's sovereign wealth fund, Central Huijin Investment, has significantly increased its stake in the nation's largest banks for the first time since 2015, sparking speculation of intensified efforts to support the declining stock market. This move follows growing pressure from Chinese economists and hedge funds for the government to directly intervene with a stabilization fund. The fund's purchase aims to bolster market confidence and stabilize share prices, particularly in the financial sub-gauge, which has faced three consecutive years of losses. Huijin plans to further increase its holdings over the next six months, a move reminiscent of its actions during the 2015 market turmoil. The fund's investment is accompanied by a series of measures from the Chinese authorities, including reduced handling fees for stock transactions and relaxed foreign ownership regulations, to mitigate the ongoing exodus of foreign funds and support the domestic equity market."
74,"            A historic strike by unionized auto workers in the US has commenced at three factories after failed negotiations with the ""Big Three"" automakers, General Motors, Ford, and Stellantis. The strike has implications for the massive automotive ecosystem that contributes significantly to the US economy, driving approximately US$1 trillion annually and supporting 9.6 million jobs. The ""Big Three"" control 60% of the nation's assembly plants, but the strike currently involves only 12,700 of the union's 150,000 members. Analysts warn of potential supply chain disruptions and financial strain on parts suppliers in the event of a prolonged strike. The strike could affect foreign automakers with operations in the US as well, as they collectively produced 4.4 million vehicles in 2022."
75,"SoftBank has secured strategic investments from technology giants Apple, Nvidia, and others for Arm's upcoming IPO. These investments, ranging from $25 million to $100 million, bolster the offering, which aims to raise $5-$7 billion. Arm, a provider of chip designs and licenses, is expected to price shares on September 13 and start trading the following day. The IPO is significant for SoftBank, as it aligns with growing investor interest in the chip industry and could encourage other companies to pursue their own IPOs."
76,"In a sea of decliners across Asian markets, Singapore's Straits Times Index (STI) fell 1.4%, closing at 3,129.72. Singtel led the index slide, dropping 4.8% amidst an Optus outage affecting millions. Other key decliners included Sembcorp Industries and Keppel Corp. Only Singapore Airlines and UOL closed positively. Weak China trade data is suggested as a possible factor contributing to the regional declines, while Wall Street enjoyed gains in tech and consumer sectors."
77,"The US-China trade war over technology has strained relations between South Korea's semiconductor industry and China. South Korea, heavily reliant on the semiconductor sector, is caught between its ally, the US, and China, a major customer of South Korean chips. To curb China's access to advanced chips, the US has imposed export restrictions, including a waiver set to expire soon. The uncertainty surrounding the waiver and potential changes in business strategies in China pose challenges for South Korean chipmakers Samsung and SK Hynix. Both companies have significant production facilities in China but face pressure to shift their focus to less advanced products or serve only the Chinese market. South Korea is also investing in domestic chip-making capacity to reduce its reliance on China, while Samsung and SK Hynix are increasing investments in the US. However, South Korea risks economic retaliation from China for aligning too closely with the US. The ongoing tensions highlight the challenges South Korea faces as a key player in the global semiconductor industry and the impact of geopolitical factors on economic alliances and supply chains."
78,"SATS, an in-flight caterer and ground handler, has announced three consecutive years of pre-tax losses but will not be placed on the SGX watch list due to its sufficient average daily market capitalization. In the first half of FY2024, SATS reported a narrowing net loss from the previous year and a net profit in the second quarter, its first without government relief since the COVID-19 pandemic. The improved quarterly performance was driven by increased business volumes and productivity enhancements. As of September 2023, flights handled and in-flight meals served have recovered to 82% and 83%, respectively, of pre-COVID levels."
79,"Singapore is proposing a new law to regulate significant investments in entities critical to national security. The Significant Investments Review Bill will apply to both domestic and foreign investments in entities designated as critical, which have not yet been identified. Critical entities will be required to seek approval for certain changes in ownership or control, such as when a buyer becomes a 5% controller or a seller ceases to be a 50% controller. They must also seek approval for the appointment of key officers and cannot be voluntarily wound up or dissolved without the minister's consent. The bill aims to complement existing sector-based legislation to safeguard critical industries and ensure business continuity in a crisis. Singapore emphasizes that it remains an open economy and will work with designated entities to minimize the impact on affected businesses. This move aligns with global trends of increased investment scrutiny to protect crucial industries."
80,"Recent inflation surges have elevated inflation expectations among Gen Z consumers in Britain more than any other age group. This inflation experience effect, where individuals shape their economic beliefs based on lived experiences, can leave lasting psychological scars. The elevated inflation expectations among younger generations could pressure workers to demand higher wages and prolong elevated interest rates. Research indicates that the inflation experience effect can be inherited, with households in areas that experienced hyperinflation in the past exhibiting higher inflation expectations today. This effect can influence central bankers, with their inflation experiences shaping their voting behaviors. Gen Z's heightened inflation expectations may complicate central banks' efforts to control inflation and bring it back to target."
81,"Government agencies and critical service providers participated in Exercise Cyber Star, a simulated cyber-security exercise. The exercise focused on responding to attacks on key infrastructure, including ransomware and website overloads. Participants also addressed emerging threats to operational technology systems essential for power and water. The exercise highlighted the potential impact of cyber attacks on critical services and the importance of coordination between organizations in responding to such threats."
82,"To combat piracy, India has appointed government officials to handle complaints and require digital platforms to remove pirated films within 48 hours. The move aims to protect the entertainment industry from annual losses of 200 billion rupees due to copyright infringement. Under the Cinematograph (Amendment) Act 2023, piracy offenses can result in jail sentences and fines. Copyright holders can report pirated content, and officials will verify complaints and issue directives for removal."
83,"In Singapore, two individuals fell victim to WhatsApp Web impersonation scams. The victims clicked on phishing links posing as the official WhatsApp Web website. The scammers gained access to their accounts, impersonated them, and solicited funds from colleagues and friends. In one case, a colleague transferred $1,000, while in the other, a friend sent $3,000 to the scammers. The scammers concealed the chats to prevent detection. The police have warned about these scams and advise users to enable two-step verification, verify the official website or app, and beware of suspicious requests. One victim emphasizes the importance of double-checking URLs to avoid becoming a victim."
84,"Greta Thunberg's activism inspires Gen Z to advocate for the ethical use of artificial intelligence (AI). Generative AI, such as ChatGPT, poses risks in four categories: ethical and social, economic, security, and command and control. Governments are developing legislation to manage AI risks, with the European Union's AI Act being the closest to enforcement. Singapore's approach emphasizes testing and compliance with AI ethics principles. Youth representation is lacking in AI governance discussions despite Gen Z's significant future exposure to AI. Gen Z values inclusivity, equity, education, and environmental impact in AI governance. Singapore can lead by incorporating youth perspectives into the Advisory Council and promoting AI ethics education in schools and universities."
85,"TikTok has opposed Indonesia's proposed ban on social media e-commerce transactions, citing the growth of its Indonesian operations and the benefits for small businesses. The Indonesian government has raised concerns about monopolistic practices by companies like TikTok, calling for the separation of social media and e-commerce. Government officials have suggested banning the combination of these services, and a deputy trade minister has indicated plans to revise trade laws to explicitly prohibit it. TikTok argues that such a ban would hinder innovation and disadvantage Indonesian merchants and consumers. The company urges the government to provide a fair environment for all players, including TikTok."
86,"Amazon and TikTok are vying for dominance in the growing US$100 billion social commerce market in the United States. Flip, a newcomer founded by Iraqi refugee Noor Agha, has emerged as a potential contender by addressing weaknesses in Amazon's user experience and TikTok's limited shopping capabilities. Flip allows verified brands to sell directly and prohibits brands from directly contacting users to request reviews. Users earn commissions on both sales and engagement, and the platform includes mechanisms to report brands that violate guidelines. Despite concerns about the sustainability of its viral referral program and logistical challenges, Flip has experienced significant growth. The future success of Flip hinges on securing venture capital and adapting to the evolving regulatory landscape for big tech companies."
87,"Voice deepfake technology is emerging as a concern for cybersecurity, enabling fraudsters to generate realistic voice imitations for financial scams. Despite being a relatively new issue, voice deepfakes have been used in successful attacks on banks, leveraging stolen customer data and easily accessible AI programs. As AI language models improve and the cost of generating voice deepfakes decreases, experts warn of an increased risk of sophisticated attacks. While most instances of voice deepfake scams are detected, concerns remain over their potential for targeting individuals directly. The underlying issue stems from data breaches that expose personal information, facilitating the creation of voice deepfakes. Countermeasures include screening software to identify machine-generated speech and enhanced training for customer service representatives."
88,"The Department of Homeland Security (DHS) has implemented new guidelines for the ethical and responsible use of artificial intelligence (AI) in its operations. These guidelines aim to safeguard privacy, civil rights, and civil liberties, while minimizing biases and ensuring transparency and accountability. DHS is implementing AI in various mission-critical areas, including border control, drug detection, supply chain security, and digital forensics. Despite the benefits of AI, DHS acknowledges potential risks, such as racial profiling and errors in data analysis. The guidelines mandate manual reviews of AI-generated facial recognition matches, allow individuals to opt out of facial recognition technology, and emphasize the importance of human analysts in decision-making. DHS highlights successful cases where AI aided in significant drug seizures, and plans to expand its use of AI-powered surveillance cameras to enhance border security."
89,"A 68-year-old woman lost $72,500 from her POSB account after downloading a fraudulent app that allowed scammers to control her phone and initiate unauthorized transactions. The app was downloaded after she responded to a Facebook ad from a purported recycling company offering to purchase used appliances. Despite being aware of scam reports, the victim fell victim to the elaborate scheme, which involved the scammer posing as a buyer and instructing her to download the malicious app. The incident highlights the ongoing threat of malware-enabled scams, prompting banks to implement tighter security measures."
90,"India's monsoon rainfall has reached a five-year low due to El Nino's influence, with August experiencing record dryness. The deficit in rainfall has raised concerns about crop production and food inflation. As a result, India, a major exporter of rice, has implemented export restrictions and considered banning sugar exports. Despite the deficit, the weather department anticipates normal rainfall during October to December."
91,"Heavy rainfall in New York City is a result of climate change and reflects the ""new normal,"" as stated by Governor Kathy Hochul. The torrential downpours caused flash flooding, leading to a state of emergency for New York City, Long Island, and the Hudson Valley. The subway system and Metro North commuter rail service faced significant disruptions, and officials advised residents to avoid unnecessary travel. The state of emergency will remain in effect for six days, with the possibility of a federal emergency declaration if needed."
92,"Hong Kong has issued a red rain warning, prompting school closures due to expected heavy rainfall. The deluge follows recent record-breaking precipitation, leading to extensive flooding and landslide risks. Despite the impact, the stock market remains open unless the highest black signal is issued. Certain areas, including Tsueng Kwan O and Sai Kung, continue to experience flooding, while a luxury house in Tai Tam was evacuated due to collapse concerns. Last week's torrential rain, attributed to Typhoon Haikui, resulted in two fatalities and over 144 injuries."
93,"In Queensland, Australia, hundreds of firefighters are combating numerous bush fires amidst extreme heat and dry conditions, particularly in the Western Downs region. One fire has ravaged 11,000 hectares, destroying several structures. An El Nino pattern is contributing to heightened temperatures and drought, increasing the severity of the bush fire season. In New South Wales, firefighters are battling 70 fires, including one that has burned through 30,000 hectares. Experts emphasize that climate change exacerbates the risk of natural disasters such as bush fires."
94,"At least six people have died and over six remain missing after Storm Daniel brought heavy rainfall to Greece, causing landslides, destroying infrastructure, and flooding homes. Prime Minister Kyriakos Mitsotakis postponed his economic speech to visit affected areas. The storm has severely impacted the mainland port city of Volos, the mountainous Pelion area, and the cities of Karditsa and Trikala, where villages have been submerged. The fire brigade, army, and coastguard are assisting in rescue efforts, while the European Union has offered support. The storm has highlighted the severity of the weather Greece has faced in recent days, following a deadly wildfire and the most extreme rainfall on record."
95,"**Summary:**

Libyan flood survivors in Derna recount their harrowing experiences. A dam burst, sending a torrent of water through the city, causing widespread destruction.

Survivors described an explosion-like sound and a rapid rise in water levels, forcing them to flee to upper floors or escape across rooftops. Many witnessed heartbreaking scenes, including corpses scattered throughout the city center.

Among the survivors, Raja Sassi lost family members, while Nouriya al-Hasadi survived miraculously with her daughter. Safia Mustafa and her sons escaped by climbing to the roof and traversing neighboring buildings.

Saliha Abu Bakr, a lawyer, lost her mother after water engulfed her apartment, forcing her to tread water for hours. She and her sisters narrowly escaped before the building collapsed."
96,"In 2023, deforestation in the Amazon rainforest has witnessed a significant 55.8% decline compared to the same period in 2022. This encouraging trend is primarily attributed to stricter environmental law enforcement in Brazil, led by President Luiz Inacio Lula da Silva. Colombia and Peru have also shown notable decreases in forest loss, while Bolivia's decline is less pronounced. The reduction in deforestation is attributed to shifts towards pro-conservation governments in Brazil and Colombia, along with changing attitudes among former guerrillas in Colombia. Experts believe this progress will enhance the leverage of Amazon countries in advocating for conservation funding at the upcoming COP28 climate summit. The Amazon rainforest plays a crucial role in curbing climate change by absorbing vast amounts of carbon dioxide, and its preservation is essential for global efforts to mitigate greenhouse gas emissions."
97,"China has established five weather stations on Cho Oyu, expanding its Himalayan climate monitoring network. These stations, installed at altitudes ranging from 4,950m to 8,201m, collect data on weather conditions and analyze ice samples to monitor the effects of climate change on the region's water resources. The monitoring network, which includes Mount Everest and Shishapangma, aims to enhance disaster prevention and adaptation strategies as the region faces increasing extreme weather events due to global warming. The urgency of such surveillance is highlighted by the recent loss of height on Mont Blanc and the deadly flash floods triggered by glacial lake bursts in Sikkim."
98,"On November 26, Phnom Penh witnessed the return of annual dragon boat races, a highlight of Cambodia's three-day water festival. Hundreds of boats competed, with spectators cheering them on. The festival, which had been canceled due to the COVID-19 pandemic, also features concerts, lantern parades, and fireworks. The health authorities are distributing condoms and lubricants to raise awareness about HIV and AIDS prevention. The festival celebrates the end of the rainy season and the reversal of the Tonle Sap river's flow. In 2010, a deadly stampede during the festival's final day killed over 350 people, marking Cambodia's worst tragedy since the Khmer Rouge era."
99,"Over 1,400 individuals gathered at Hong Lim Park for a climate rally advocating for climate justice, which involves ensuring equitable access to climate change solutions and minimizing the disproportionate impact on vulnerable groups. Speakers highlighted the impact of heat on low-income families and migrant workers, while attendees expressed concerns about the underrepresented role of plant-based diets in climate change discussions. The rally featured booths from environmental and social organizations, and attendees submitted postcards to their MPs with climate-related concerns. Political figures expressed support for activism and emphasized the need for practical policies. The rally aligns with global climate protests demanding an end to fossil fuels and highlights the importance of considering both the rising cost of living and climate change impacts."
100,"China has expressed its willingness to provide relevant information for an investigation into the damage sustained by a gas pipeline in the Baltic Sea, in accordance with international law. The incident, which occurred earlier this month, is believed to have been caused by an anchor dragged by a vessel. Finnish authorities are investigating whether the vessel responsible was a Chinese container ship, but no conclusions have been reached regarding whether the act was intentional or accidental."
101,"An abandoned bicycle has remained at a Yio Chu Kang Road bus stop despite multiple reports via the OneService and LifeSG apps. A notice was placed on the bicycle requiring its removal by a certain date, but it has not been removed despite the deadline passing almost two months ago. The author questions which agency is responsible for clearing the bicycle and why lapses like this still occur despite the formation of the Municipal Services Office (MSO)."
102,"Australia will implement a two-phased ban on vaping devices, starting in January 2024 with a ban on disposable vapes. In March 2024, all non-therapeutic vapes will be banned. The ban aims to curb the popularity of nicotine-filled devices among young people, with one in five Australians aged 18-24 currently vaping. Despite Australia's low smoking rates, vaping is on the rise, prompting concerns about long-term health risks. To ensure smokers still have access to quitting aids, doctors and nurses will have expanded powers to prescribe therapeutic vapes. However, therapeutic vapes will be subject to restrictions on flavors, nicotine levels, and packaging. The government will provide additional funding to enforce the new rules and prohibit domestic manufacturers from producing banned devices."
103,"The container shipping industry has experienced a dramatic decline from record profits in 2021 and 2022 to anticipated losses in the coming quarters due to oversupply. Leading carriers such as A.P. Moller-Maersk and Hapag-Lloyd are implementing cost-cutting measures, including voyage cancellations and service suspensions. Despite warnings against price wars, concerns persist about the sustainability of current low freight rates given rising expenses from canal transits and upcoming investments in decarbonization. This industry downturn may provide some relief to manufacturers and retailers by reducing shipping costs, potentially aiding in inflation control. However, consumers are cautious about spending, seeking cost-effective delivery options."
104,"Advances in technology, such as satellite imagery and blockchain, play a crucial role in achieving environmental, social, and governance (ESG) goals. These solutions enhance the integrity of carbon credits by tracing deforestation and ensuring transparency in transactions. However, there are concerns about the financial burden on communities involved in nature-based solutions and the cost-effectiveness of technology in sustainability reporting. The gathering of reliable data remains a challenge, particularly for small and medium-sized enterprises. Artificial intelligence tools can assist in data collection, while standard reporting practices will enhance cost-benefit analysis in technology use for sustainability."
105,"Despite facing challenges from the EU's de-risking strategy, which aims to reduce dependence on China, majority of Chinese companies operating in the EU remain optimistic about the market. Although 72% reported negative impacts on their businesses, 83% expressed continued faith in the EU and plan to expand their presence. The survey indicated that Chinese companies see more opportunities than challenges in the EU's green and digital transitions, and bilateral trade continues to grow, reaching €857 billion in 2022. Chinese companies see potential for increased cooperation and technology collaboration in these areas. However, they also raised concerns about what they perceive as unfairness in market access, tariffs, and investment scrutiny."
106,"Malaysians are urged to take precautions against haze pollution, which can cause health issues such as respiratory symptoms, eye irritation, and skin irritation. Individuals in areas with unhealthy air quality (API 101-200) should limit outdoor activity, close windows and doors, wear face masks outdoors, and stay hydrated. Air purifiers, N95 masks, and avoiding smoking can further mitigate indoor air pollution. Vulnerable populations, such as children, the elderly, and those with pre-existing conditions, are at higher risk and should seek medical attention if experiencing symptoms. Five areas in Malaysia currently have unhealthy API readings, with Bukit Rambai in Melaka being the most affected."
107,"Global regulators are combating greenwashing, the practice of misleading consumers about sustainability. HSBC's greenwashing ads were banned for failing to disclose their fossil fuel funding. Regulators in the UK, Australia, US, and Italy are investigating and fining companies for vague or false green claims. The prevalence of greenwashing has increased, driven by growing consumer demand for sustainable products. Despite regulatory efforts, greenwashing remains prevalent due to its ambiguity and the proliferation of sustainability claims. Authorities are facing challenges in addressing greenwashing effectively due to resource constraints, the reactive nature of litigation, and the variety of green products and claims. Advertisers are facing pressure to avoid greenwashing, and some agencies have pledged not to work with polluting industries. There are calls for stricter measures, such as treating oil and gas like tobacco with a comprehensive treaty banning advertising and public policy involvement."
108,"This week's top reads from The Straits Times include:
- At least 632 fatalities and 329 injuries resulted from a powerful earthquake in Morocco, causing building collapses in Marrakech.
- PayNow will discontinue its nickname option, with no specified reason provided by the Association of Banks in Singapore.
- The Healthy Longevity Clinic at Alexandra Hospital offers customized programs to promote rejuvenation and longevity.
- The SCDF successfully rescued a potential stroke victim from a 40-meter crane in Tuas, marking the 14th height-rescue operation since 2019.
- Singapore's 50 richest individuals saw an 8% increase in wealth, reaching $241.6 billion, but their fortunes remain below 2021 levels.
- Tharman's landslide election victory reflects a call for unity and multiracialism, while highlighting the need to address voter concerns.
- An online mooncake scam resulted in 27 victims losing $325,000 through malicious links.
- A woman sustained a fractured tailbone after going down a slide at Wild Wild Wet, an injury commonly caused by slips, sports injuries, or prolonged sitting on hard surfaces."
109,"In Singapore, shophouses, historic commercial-residential properties, have experienced a surge in demand and prices, making them a lucrative investment. The scarcity of these buildings, their architectural significance, and the government's housing regulations have driven their value. Investors, including Sebestian Soh, have recognized their potential and are acquiring multiple shophouses. Renters are also drawn to their heritage and prime locations, leading to increased rental rates. The government has implemented measures to regulate property acquisition, but these have minimal impact on shophouses. Despite the challenges of restoration, shophouses are being repurposed for trendy businesses, restaurants, and boutique hotels. Designers and investors are working to revitalize areas like Geylang, using these structures to create unique experiences and blend old and new. The demand for shophouses is projected to continue, with sales expected to reach $1.5 billion in 2023."
110,"The Standard Chartered Singapore Marathon (SCSM) will take place from December 1 to 3, leading to road closures in Nicoll Highway, National Stadium, Beach Road, Marina Boulevard, and the CBD. These areas will be considered dead zones, and vehicular access, pickups, and drop-offs will be prohibited. Train services will be suspended during the early hours of December 2 and 3. To assist runners, SCSM is collaborating with ShareTransport to offer shuttle services from 26 locations. The half marathon event's route has been changed to allow more spectators to witness participants passing the Singapore Flyer, War Memorial Park, and the Merlion. Ironman Group has collaborated with authorities to establish a safe and smooth event for runners, spectators, and the public."
111,"According to a PAP survey, Singaporeans believe that maintaining a fair and competitive society is a critical challenge for the 4G PAP leadership. While concerns about external threats are more prevalent among older age groups, younger Singaporeans prioritize media management and a fair society. The survey highlights the importance of understanding generational perspectives and engaging young people in policymaking. Panelists at a PPF dialogue emphasized the need to empower and inspire young people to participate in society and address the challenges that Singapore faces, including both financial and existential threats."
112,"The government is concerned about the rising COE premiums, a policy implemented to control vehicle population. The high premiums have consequences: increased cost of living, potential brain drain among middle-income professionals, and social inequality due to hidden trade-offs. Some suggest creating a separate COE category for luxury vehicles to mitigate competition with middle-income buyers. Others advocate for increasing public transport rebates for low-income groups to offset the impact of higher premiums. However, determining the true impact is complex in an economy without capital gains or estate duty taxes, which could exacerbate income disparity."
113,"The Federal Aviation Administration (FAA) in the United States has relaxed regulations for beyond visual line-of-sight drone operations, enabling operators to explore the viability of drone deliveries over longer distances. Advancements in drone technology and enabling regulations aim to reduce the cost and risks associated with last-mile delivery.

However, challenges remain, including regulatory hurdles, lack of support infrastructure, and opposition from locals. Additionally, drone deliveries must navigate sensitive locations, high-rise environments, and payload weight limitations.

Despite these challenges, the FAA's move opens up the drone delivery market in the US. Operators like UPS and Zipline are already conducting trials, seeking to adapt their experiences in rural areas to urban environments.

While drone deliveries have great potential, they are unlikely to replace human couriers in the near future. Instead, they are expected to complement existing delivery methods, providing cost savings, reduced emissions, and faster delivery times. Human couriers will still be necessary for tasks such as order pickup and sorting."
114,"In September, rental volumes for both condominiums and HDB flats declined, with condo leasing volumes falling 15.2% and HDB rental volumes dropping 7.8% compared to August. Despite the decline in volumes, HDB flat rents continued to rise slightly by 0.4%, while condo rents continued to fall by 0.5%. The OCR accounted for the highest proportion of condo rental volume, while four-room flats were the most popular HDB rental type. Softer demand in the HDB rental market was attributed to the completion of new condos, while condo rent declines were a result of limited demand and increased pressure on landlords to retain tenants."
115,"Passengers on an eastbound train were forced to disembark at City Hall MRT station due to smoke emanating from a refrigerant gas leak. The leak originated from the affected train's first-generation air-conditioning system. The train, which dates back to 1987, was subsequently removed from service. SMRT Trains president Lam Sheau Kai stated that passengers were instructed to disembark for safety reasons and that no medical attention was required. Normal train operations resumed after the incident, and an SMRT Trains staff member inspected each cabin as passengers exited the train."
116,"In Singapore, places of worship have enhanced security measures in response to an increase in theft cases. The Methodist Church has deployed security personnel and implemented a security screening system. Leong San Buddhist Temple has increased surveillance and secured donation boxes with tamper-proof locks. Hindu Endowments Board temples utilize CCTV and multiple locks on donation boxes. The Islamic Religious Council of Singapore monitors donation boxes frequently and deposits funds into bank accounts. Sikh temples have changed locks and encouraged congregants to use cashless donations. Despite the thefts, some temples prioritize compassion and offer support to those facing financial challenges."
117,"The first night of the Singapore Grand Prix featured performances at the Padang Stage by 88rising artists, including popular rapper and singer Jackson Wang. Wang drew a large crowd and performed songs like ""Blow."" Other notable performers included Japanese group Atarashii Gakko!, Indonesian singers Niki, Warren Hue, and Rich Brian, Thai rapper Milli, South Korean singer Bibi, and multilingual girl group XG. The Singapore Grand Prix continues until Sunday, with upcoming performances by Kings Of Leon, Post Malone, Culture Club, Madness, and Robbie Williams."
118,"**Sana (2 stars):**
- Japanese horror film marketed as a J-pop promo for Generations from Exile Tribe.
- Band members encounter a cursed cassette tape and experience supernatural events, but the plot is weak and relies on genre tropes.

**The Wonderful Story of Henry Sugar (5 stars):**
- Based on a Roald Dahl short story, directed by Wes Anderson.
- Follows an aristocrat who learns to cheat at blackjack by developing extrasensory sight.
- Features a nested story-within-a-story structure, with characters narrating Dahl's text directly to the camera.
- A playful and imaginative film that showcases Anderson's unique storytelling style."
119,"Sezairi, the winner of Singapore Idol Season 3, has become a regional pop star with over 100 million Spotify streams for his song ""It's You."" He recently released his fourth album, ""Self Soothing,"" which explores themes of inner peace. Sezairi initially faced opposition from his father when he chose to pursue music over academics. Despite challenges, he has gained popularity in Indonesia and is committed to promoting local Singaporean artists. With the support of his wife, he has performed at significant events like the National Day Parade theme song ""The Road Ahead."""
120,"The Nordic Film Festival presents ""Band,"" an unconventional documentary blurring reality and performance about an Icelandic all-women rock band facing a success ultimatum. Sundance Film Festival Asia's nominated short films, including the award-winning ""Tuo Tuo,"" are now available on YouTube. Short Circuit 7, an LGBTQ-themed short film festival, returns with 11 Singaporean films, featuring ""The 25th Filial Exemplar,"" exploring family dynamics and parental approval. Proceeds from Short Circuit 7 screenings benefit transgender support services and the LGBTQ community."
121,"Taylor Swift's ""The Eras Tour"" concert film is available in theaters on Friday. The Projector cinema will host an afterparty on Saturday. The Projector's French Film Festival features ""Anatomy Of A Fall"" and ""Four Daughters."" The ""Je T'aime, Jane"" retrospective celebrates the late Jane Birkin. Netflix's ""Castaway Diva"" stars Park Eun-bin in a story about a girl stranded on an island who dreams of becoming a singer."
122,"Veteran Singaporean actor Peter Yu has had a productive year, starring in five festival films that have garnered international recognition. These films, which include ""Dreaming & Dying,"" ""Last Shadow at First Light,"" and ""Snow in Midsummer,"" have earned accolades at festivals such as Locarno, San Sebastian, and Golden Horse. Yu's filmography for 2023 also features ""Wonderland"" and ""A Year of No Significance,"" which explore themes of family, language, and identity. The pandemic contributed to Yu's current productivity as film releases were delayed and shooting restrictions eased. Notably, film-makers seek Yu for his screen presence and ability to convey emotions through his presence. The Singapore International Film Festival (SGIFF) will showcase these films from November 30th to December 10th."
123,"Organizers of Coldplay's November 22 concert in Kuala Lumpur will have access to a ""kill switch"" that can instantly cut power to the performance, as requested by the Malaysian Communications and Digital Ministry. This measure was implemented following a previous incident involving The 1975 at the Good Vibes Festival, where the frontman's actions generated controversy. The concert has drawn opposition from some quarters due to Coldplay's pro-Palestinian stance, but Prime Minister Anwar Ibrahim has stated that he will consult with the Federal Territories Mufti regarding the matter."
124,"Shah Rukh Khan's action thriller ""Jawan"" has revitalized the struggling Bollywood industry, setting a box-office record with a 750 million rupee worldwide collection. Despite concerns about Bollywood's relevance, the film's success is part of a wider post-pandemic revival. The film stars Khan in multiple roles, featuring high-octane action, song-and-dance sequences, and a story of a vigilante fighting corruption. Khan, a 57-year-old mega-star, continues to lead the industry, with his films breaking records and attracting audiences to reopened cinemas in Hindi-speaking regions. His popularity extends beyond India, with his fandom and influence reaching South Asian diaspora communities worldwide."
125,"**All Fun and Games** (NC16) is a teen horror film that revolves around a cursed knife that forces siblings to play deadly versions of childhood games. Despite its macabre premise, the film fails to deliver on its potential, offering predictable scares and a shallow exploration of its supernatural elements.

**Spy Kids: Armageddon** (PG) is a reboot of the popular kid-friendly franchise. The film follows two children who must become spies to save their parents and the world from a power-mad game developer. Robert Rodriguez's latest installment in the series features an all-new cast and embraces the technological advancements of the modern era, catering specifically to pre-teens with its fun adventure and wholesome themes of family unity."
126,"A secret room used by Michelangelo to hide from Pope Clement VII will open to the public on November 15th at the Museum of the Medici Chapels in Florence. The small room, believed to have been used as a coal cellar, contains charcoal sketches attributed to Michelangelo. Guided tours of four people will be allowed for a maximum of 15 minutes, costing €20 in addition to the €10 museum entry fee. Access to the room is limited due to the use of LED lighting, alternating with periods of darkness to preserve the sketches."
127,"A NASA spacecraft is returning to Earth with a 250-gram sample collected from the asteroid Bennu in 2020. The sample, which will be the largest asteroid sample ever returned, is expected to provide valuable insights into the origins of the solar system and the potential for life. The spacecraft is scheduled to enter Earth's atmosphere on Sunday and parachute into the Utah desert. The sample will be transported to a laboratory in Houston for analysis by scientists worldwide."
128,"At Walt Disney World in Florida, a real black bear was sighted on Monday. The sighting prompted the closure of Frontierland, Liberty Square, and Adventureland. Biologists and law enforcement captured the adult female bear and relocated her to the Ocala National Forest. Bears are more active in the fall as they search for food to prepare for winter, and black bears are the only bear species in Florida."
129,"Since the pandemic, ready-to-heat meals have gained popularity due to the convenience they offer. FairPrice Group's Home Flavours range provides soups, meat, and vegetable dishes that can be microwaved or lightly cooked. Kuriya Japanese Market offers frozen meal kits with sauces for easy pan-frying.

Meal-planning subscription services Green Kitchen and Soul Grub deliver calorie-counted meals to your doorstep. Green Kitchen focuses on healthy and nutritious options with rotating menus, while Soul Grub offers a mix of Western and Asian dishes, including holiday meals.

Home Flavours' soups are simple but comforting, while the meat and fish dishes are surprisingly crisp when cooked in the oven. Soul Grub's meals are hearty and flavorful, with the roasted fish with ratatouille and Chinese herbal dang gui chicken being highlights. Green Kitchen offers a wide variety of dishes, including local and South-east Asian options, with the Ayam Masak Merah being a standout. Kuriya Japanese Market's meal kits provide restaurant-quality sauces and allow for easy preparation of proteins."
130,"Jeanette Aw, a Singaporean actress, will open three chocolate pop-ups in Japan from mid-January to February 14th. The pop-ups, located in Tokyo, Osaka, and Nagoya, will feature chocolate bonbons, pastries, and seasonal treats tailored to the Japanese market. Aw, who trained in patisserie at Le Cordon Bleu Tokyo, will oversee the development and baking of the desserts. Despite upcoming acting commitments, she aims to create exquisite desserts inspired by the artistic standards of Japanese desserts."
